# u, t(=u+rB), psi0t_rB  — ZccmJl unringed quiescent-BC pulse run
# rwt=40 rB=41 Z=1e-3 n=65 du=7.8125e-4 paper-pulse(yc=0,ymin=-0.8,ymax=0.8,tauy=0.15)
8.425000000009454,49.425000000009454,-1.5685996726427612e-6
8.450000000009432,49.45000000000943,-1.5708589862096e-6
8.475000000009409,49.47500000000941,-1.573104347046378e-6
8.500000000009386,49.500000000009386,-1.5753356731166636e-6
8.525000000009364,49.52500000000936,-1.5775528825223488e-6
8.55000000000934,49.55000000000934,-1.5797558935070624e-6
8.575000000009318,49.57500000000932,-1.5819446244581166e-6
8.600000000009295,49.600000000009295,-1.5841189939083037e-6
8.625000000009273,49.62500000000927,-1.5862789205402731e-6
8.65000000000925,49.65000000000925,-1.5884243231876622e-6
8.675000000009227,49.67500000000923,-1.5905551208383616e-6
8.700000000009204,49.700000000009204,-1.5926712326364502e-6
8.725000000009182,49.72500000000918,-1.5947725778856262e-6
8.750000000009159,49.75000000000916,-1.5968590760509864e-6
8.775000000009136,49.775000000009136,-1.5989306467620957e-6
8.800000000009113,49.80000000000911,-1.6009872098152934e-6
8.82500000000909,49.82500000000909,-1.6030286851754268e-6
8.850000000009068,49.85000000000907,-1.6050549929806245e-6
8.875000000009045,49.875000000009045,-1.6070660535426837e-6
8.900000000009022,49.90000000000902,-1.6090617873507343e-6
8.925000000009,49.925000000009,-1.6110421150727441e-6
8.950000000008977,49.95000000000898,-1.6130069575591809e-6
8.975000000008954,49.975000000008954,-1.6149562358453126e-6
9.000000000008932,50.00000000000893,-1.6168898711530389e-6
9.025000000008909,50.02500000000891,-1.6188077848943975e-6
9.050000000008886,50.050000000008886,-1.620709898673031e-6
9.075000000008863,50.07500000000886,-1.6225961342877194e-6
9.10000000000884,50.10000000000884,-1.624466413734348e-6
9.125000000008818,50.12500000000882,-1.6263206592078658e-6
9.150000000008795,50.150000000008795,-1.6281587931060513e-6
9.175000000008772,50.17500000000877,-1.6299807380317043e-6
9.20000000000875,50.20000000000875,-1.63178641679357e-6
9.225000000008727,50.22500000000873,-1.6335757524112087e-6
9.250000000008704,50.250000000008704,-1.6353486681160056e-6
9.275000000008681,50.27500000000868,-1.6371050873538955e-6
9.300000000008659,50.30000000000866,-1.6388449337877933e-6
9.325000000008636,50.325000000008636,-1.6405681313001467e-6
9.350000000008613,50.35000000000861,-1.6422746039959428e-6
9.37500000000859,50.37500000000859,-1.6439642762043237e-6
9.400000000008568,50.40000000000857,-1.6456370724816318e-6
9.425000000008545,50.425000000008545,-1.6472929176131065e-6
9.450000000008522,50.45000000000852,-1.6489317366164853e-6
9.4750000000085,50.4750000000085,-1.6505534547436505e-6
9.500000000008477,50.50000000000848,-1.6521579974827343e-6
9.525000000008454,50.525000000008454,-1.65374529056171e-6
9.550000000008431,50.55000000000843,-1.6553152599497959e-6
9.575000000008409,50.57500000000841,-1.6568678318605603e-6
9.600000000008386,50.600000000008386,-1.6584029327533212e-6
9.625000000008363,50.62500000000836,-1.659920489336874e-6
9.65000000000834,50.65000000000834,-1.6614204285714066e-6
9.675000000008318,50.67500000000832,-1.6629026776701994e-6
9.700000000008295,50.700000000008295,-1.6643671641024863e-6
9.725000000008272,50.72500000000827,-1.6658138155963148e-6
9.75000000000825,50.75000000000825,-1.6672425601403846e-6
9.775000000008227,50.77500000000823,-1.6686533259865005e-6
9.800000000008204,50.800000000008204,-1.6700460416524146e-6
9.825000000008181,50.82500000000818,-1.671420635922988e-6
9.850000000008158,50.85000000000816,-1.6727770378536395e-6
9.875000000008136,50.875000000008136,-1.6741151767726827e-6
9.900000000008113,50.90000000000811,-1.6754349822826756e-6
9.92500000000809,50.92500000000809,-1.6767363842639645e-6
9.950000000008068,50.95000000000807,-1.6780193128761813e-6
9.975000000008045,50.975000000008045,-1.679283698561318e-6
10.000000000008022,51.00000000000802,-1.6805294720443865e-6
10.025000000008,51.025000000008,-1.6817565643379023e-6
10.050000000007977,51.05000000000798,-1.6829649067429722e-6
10.075000000007954,51.075000000007954,-1.6841544308515862e-6
10.100000000007931,51.10000000000793,-1.6853250685487654e-6
10.125000000007908,51.12500000000791,-1.6864767520159537e-6
10.150000000007886,51.150000000007886,-1.6876094137313167e-6
10.175000000007863,51.17500000000786,-1.688722986474172e-6
10.20000000000784,51.20000000000784,-1.689817403325431e-6
10.225000000007817,51.22500000000782,-1.6908925976710694e-6
10.250000000007795,51.250000000007795,-1.6919485032035676e-6
10.275000000007772,51.27500000000777,-1.6929850539249445e-6
10.30000000000775,51.30000000000775,-1.6940021841479772e-6
10.325000000007726,51.325000000007726,-1.6949998284987454e-6
10.350000000007704,51.350000000007704,-1.6959779219195722e-6
10.375000000007681,51.37500000000768,-1.6969363996700768e-6
10.400000000007658,51.40000000000766,-1.697875197330342e-6
10.425000000007635,51.425000000007635,-1.6987942508024738e-6
10.450000000007613,51.45000000000761,-1.6996934963127558e-6
10.47500000000759,51.47500000000759,-1.7005728704137946e-6
10.500000000007567,51.50000000000757,-1.701432309987548e-6
10.525000000007545,51.525000000007545,-1.7022717522459483e-6
10.550000000007522,51.55000000000752,-1.7030911347342898e-6
10.575000000007499,51.5750000000075,-1.703890395332944e-6
10.600000000007476,51.600000000007476,-1.7046694722586006e-6
10.625000000007454,51.625000000007454,-1.705428304068381e-6
10.65000000000743,51.65000000000743,-1.706166829659908e-6
10.675000000007408,51.67500000000741,-1.7068849882743e-6
10.700000000007385,51.700000000007385,-1.707582719498292e-6
10.725000000007363,51.72500000000736,-1.7082599632659448e-6
10.75000000000734,51.75000000000734,-1.7089166598604811e-6
10.775000000007317,51.77500000000732,-1.709552749917487e-6
10.800000000007294,51.800000000007294,-1.7101681744256e-6
10.825000000007272,51.82500000000727,-1.7107628747296081e-6
10.850000000007249,51.85000000000725,-1.7113367925311397e-6
10.875000000007226,51.875000000007226,-1.7118898698927044e-6
10.900000000007203,51.9000000000072,-1.7124220492366264e-6
10.92500000000718,51.92500000000718,-1.71293327335009e-6
10.950000000007158,51.95000000000716,-1.7134234853858997e-6
10.975000000007135,51.975000000007135,-1.7138926288638416e-6
11.000000000007113,52.00000000000711,-1.7143406476734986e-6
11.02500000000709,52.02500000000709,-1.7147674860757168e-6
11.050000000007067,52.05000000000707,-1.715173088704506e-6
11.075000000007044,52.075000000007044,-1.7155574005695193e-6
11.100000000007022,52.10000000000702,-1.715920367057001e-6
